ensgene	control_1	treated_1	control_2	treated_2
ENSG00000010295	1471,0	1280,0	1679,0	865,0
ENSG00000010310	27,0	13,0	30,0	12,0
ENSG00000010318	61,0	71,0	81,0	71,0
ENSG00000010319	1,0	0,0	1,0	0,0
ENSG00000010322	2581,0	2022,0	3157,0	1472,0
ENSG00000010327	0,0	0,0	1,0	1,0
ENSG00000010361	273,0	226,0	312,0	170,0
ENSG00000010379	0,0	1,0	7,0	1,0
ENSG00000010404	2447,0	2016,0	3319,0	1999,0
ENSG00000010438	7,0	11,0	12,0	6,0
ENSG00000010539	140,0	128,0	166,0	108,0
ENSG00000010610	37,0	18,0	97,0	53,0
ENSG00000010626	151,0	103,0	210,0	111,0
ENSG00000010671	0,0	0,0	0,0	0,0
ENSG00000010704	508,0	302,0	674,0	303,0
ENSG00000010803	770,0	660,0	858,0	531,0
ENSG00000010810	1783,0	1707,0	1607,0	882,0
ENSG00000010818	1884,0	1023,0	1633,0	835,0
ENSG00000010932	16,0	33,0	70,0	46,0
ENSG00000011007	1470,0	1365,0	1388,0	954,0
ENSG00000011009	451,0	500,0	518,0	265,0
ENSG00000011021	879,0	666,0	655,0	397,0
ENSG00000011028	17930,0	13855,0	25972,0	10769,0
ENSG00000011052	307,0	195,0	298,0	80,0
ENSG00000011083	0,0	0,0	1,0	1,0
ENSG00000011105	3095,0	2676,0	3524,0	2493,0
ENSG00000011114	721,0	462,0	606,0	398,0
ENSG00000011132	198,0	220,0	301,0	143,0
ENSG00000011143	207,0	145,0	226,0	100,0
ENSG00000011198	586,0	1488,0	820,0	1040,0
ENSG00000011201	2,0	0,0	1,0	0,0
ENSG00000011243	823,0	694,0	963,0	430,0
ENSG00000011258	473,0	282,0	405,0	224,0
ENSG00000011260	489,0	465,0	369,0	295,0
ENSG00000011275	1680,0	1455,0	1932,0	1070,0
ENSG00000011295	428,0	369,0	466,0	329,0
ENSG00000011304	3395,0	3914,0	3193,0	2347,0
ENSG00000011332	25,0	12,0	18,0	18,0
ENSG00000011347	174,0	87,0	157,0	69,0
ENSG00000011376	547,0	454,0	448,0	278,0
ENSG00000011405	1181,0	1300,0	1462,0	843,0
ENSG00000011422	399,0	368,0	489,0	250,0
ENSG00000011426	265,0	251,0	239,0	138,0
ENSG00000011451	1536,0	1653,0	1596,0	899,0
ENSG00000011454	1864,0	1776,0	2363,0	2292,0
ENSG00000011465	218156,0	190421,0	427652,0	214758,0
ENSG00000011478	95,0	138,0	138,0	133,0
ENSG00000011485	818,0	1191,0	963,0	672,0
ENSG00000011523	752,0	710,0	999,0	580,0
ENSG00000011566	851,0	1132,0	1434,0	1153,0
ENSG00000011590	6,0	7,0	7,0	0,0
ENSG00000011600	0,0	1,0	4,0	3,0
ENSG00000011638	975,0	808,0	771,0	661,0
ENSG00000011677	0,0	2,0	1,0	2,0
ENSG00000012048	332,0	109,0	485,0	89,0
ENSG00000012061	1160,0	913,0	1519,0	599,0
ENSG00000012124	4,0	4,0	4,0	0,0
ENSG00000012171	1860,0	956,0	2108,0	723,0
ENSG00000012174	722,0	620,0	848,0	523,0
ENSG00000012211	109,0	139,0	138,0	65,0
ENSG00000012223	0,0	0,0	0,0	1,0
ENSG00000012232	1271,0	1030,0	1370,0	885,0
ENSG00000012504	0,0	0,0	0,0	0,0
ENSG00000012660	2069,0	1877,0	2572,0	2274,0
ENSG00000012779	0,0	1,0	0,0	0,0
ENSG00000012817	887,0	816,0	993,0	483,0
ENSG00000012822	4687,0	5376,0	6913,0	5128,0
ENSG00000012963	333,0	305,0	451,0	250,0
ENSG00000012983	1997,0	1575,0	2569,0	1205,0
ENSG00000013016	2070,0	3397,0	1763,0	885,0
ENSG00000013275	503,0	522,0	518,0	317,0
ENSG00000013288	3106,0	2541,0	4085,0	2321,0
ENSG00000013293	222,0	63,0	389,0	114,0
ENSG00000013297	6526,0	1575,0	5336,0	1498,0
ENSG00000013306	1015,0	1023,0	1095,0	602,0
ENSG00000013364	9639,0	8804,0	9096,0	5778,0
ENSG00000013374	1208,0	1116,0	1788,0	1043,0
ENSG00000013375	1452,0	984,0	1762,0	707,0
ENSG00000013392	226,0	142,0	275,0	153,0
ENSG00000013441	2515,0	2754,0	2337,0	2351,0
ENSG00000013503	336,0	295,0	369,0	143,0
ENSG00000013523	428,0	303,0	483,0	192,0
ENSG00000013561	770,0	854,0	1054,0	783,0
ENSG00000013563	406,0	361,0	770,0	440,0
ENSG00000013573	331,0	229,0	264,0	126,0
ENSG00000013583	1258,0	1289,0	1497,0	1299,0
ENSG00000013588	594,0	450,0	975,0	541,0
ENSG00000013619	757,0	1112,0	1256,0	823,0
ENSG00000013725	11,0	10,0	6,0	7,0
ENSG00000013810	95,0	134,0	124,0	65,0
ENSG00000014123	934,0	716,0	1014,0	621,0
ENSG00000014138	190,0	108,0	276,0	84,0
ENSG00000014164	578,0	498,0	546,0	286,0
ENSG00000014216	3114,0	3533,0	3956,0	2480,0
ENSG00000014257	26,0	16,0	21,0	5,0
ENSG00000014641	1613,0	1301,0	1892,0	1105,0
ENSG00000014824	1102,0	1101,0	1449,0	1056,0
ENSG00000014914	597,0	348,0	775,0	439,0
ENSG00000014919	714,0	510,0	728,0	441,0
ENSG00000015133	5,0	10,0	1,0	3,0
ENSG00000015153	183,0	279,0	273,0	201,0
ENSG00000015171	2042,0	1927,0	2663,0	1381,0
ENSG00000015285	7,0	14,0	12,0	2,0
ENSG00000015413	0,0	3,0	0,0	1,0
ENSG00000015475	270,0	322,0	406,0	163,0
ENSG00000015479	5543,0	3333,0	6399,0	2983,0
ENSG00000015520	22,0	4,0	23,0	1,0
ENSG00000015532	724,0	598,0	782,0	431,0
ENSG00000015568	210,0	112,0	173,0	85,0
ENSG00000015592	0,0	3,0	0,0	2,0
ENSG00000015676	1829,0	1527,0	1866,0	1061,0
ENSG00000016082	0,0	0,0	1,0	0,0
ENSG00000016391	155,0	25,0	157,0	30,0
ENSG00000016402	22,0	6,0	8,0	3,0
ENSG00000016490	0,0	1,0	0,0	0,0
ENSG00000016602	1,0	0,0	0,0	0,0
ENSG00000016864	1537,0	1445,0	1959,0	1185,0
ENSG00000017260	2792,0	2045,0	3487,0	2004,0
ENSG00000017427	1100,0	832,0	1138,0	766,0
ENSG00000017483	703,0	396,0	566,0	123,0
ENSG00000017797	2930,0	3683,0	2819,0	2432,0
ENSG00000018189	1110,0	845,0	1108,0	655,0
ENSG00000018236	101,0	47,0	27,0	31,0
ENSG00000018280	23,0	15,0	19,0	13,0
ENSG00000018408	3114,0	2596,0	2997,0	1784,0
ENSG00000018510	850,0	656,0	846,0	462,0
ENSG00000018607	0,0	0,0	0,0	0,0
ENSG00000018610	315,0	261,0	355,0	164,0
ENSG00000018625	285,0	146,0	3356,0	855,0
ENSG00000018699	255,0	208,0	268,0	246,0
ENSG00000018869	63,0	65,0	71,0	58,0
ENSG00000019102	1,0	0,0	3,0	7,0
ENSG00000019144	3326,0	4395,0	3783,0	2512,0
ENSG00000019169	0,0	2,0	0,0	0,0
ENSG00000019186	65,0	5,0	8,0	0,0
ENSG00000019485	314,0	332,0	320,0	171,0
ENSG00000019505	1,0	0,0	2,0	2,0
ENSG00000019549	3353,0	5423,0	2830,0	1636,0
ENSG00000019582	22,0	25,0	101,0	40,0
ENSG00000019991	1517,0	926,0	1399,0	338,0
ENSG00000019995	1356,0	2658,0	1592,0	1916,0
ENSG00000020129	1459,0	974,0	1272,0	481,0
ENSG00000020181	11137,0	6620,0	11659,0	5319,0
ENSG00000020219	0,0	0,0	0,0	0,0
ENSG00000020256	373,0	291,0	413,0	170,0
ENSG00000020426	196,0	181,0	311,0	181,0
ENSG00000020577	2269,0	4046,0	1925,0	2507,0
ENSG00000020633	143,0	176,0	90,0	60,0
ENSG00000020922	562,0	464,0	553,0	376,0
ENSG00000021300	19,0	6,0	22,0	8,0
ENSG00000021355	588,0	567,0	662,0	457,0
ENSG00000021461	3,0	2,0	6,0	2,0
ENSG00000021488	5,0	4,0	4,0	1,0
ENSG00000021574	527,0	443,0	563,0	357,0
ENSG00000021645	9,0	22,0	47,0	71,0
ENSG00000021762	1443,0	1806,0	1032,0	759,0
ENSG00000021776	1228,0	1276,0	1378,0	1016,0
ENSG00000021826	404,0	261,0	461,0	226,0
ENSG00000021852	0,0	0,0	0,0	0,0
ENSG00000022267	7166,0	8589,0	11992,0	8443,0
ENSG00000022277	1947,0	1718,0	2425,0	1378,0
ENSG00000022355	0,0	0,0	0,0	0,0
ENSG00000022556	5,0	1,0	4,0	1,0
ENSG00000022567	146,0	133,0	156,0	96,0
ENSG00000022840	2564,0	2576,0	3094,0	2034,0
ENSG00000022976	205,0	124,0	206,0	104,0
ENSG00000023041	674,0	637,0	697,0	481,0
ENSG00000023171	62,0	16,0	120,0	29,0
ENSG00000023191	2903,0	2739,0	2997,0	1614,0
ENSG00000023228	1597,0	1657,0	2041,0	1173,0
ENSG00000023287	2603,0	2406,0	2881,0	2069,0
ENSG00000023318	1340,0	1261,0	1476,0	1068,0
ENSG00000023330	1025,0	840,0	1159,0	549,0
ENSG00000023445	78,0	83,0	59,0	29,0
ENSG00000023516	1937,0	1549,0	2110,0	1219,0
ENSG00000023572	96,0	108,0	97,0	85,0
ENSG00000023608	230,0	338,0	430,0	368,0
ENSG00000023697	460,0	502,0	510,0	357,0
ENSG00000023734	1655,0	1993,0	2171,0	1574,0
ENSG00000023839	23,0	33,0	23,0	6,0
ENSG00000023892	7,0	2,0	5,0	8,0
ENSG00000023902	654,0	766,0	618,0	474,0
ENSG00000023909	1079,0	1615,0	1324,0	1867,0
ENSG00000024048	1322,0	1162,0	1558,0	997,0
ENSG00000024422	10748,0	11310,0	12572,0	7587,0
ENSG00000024526	22,0	33,0	22,0	17,0
ENSG00000024862	210,0	231,0	287,0	192,0
ENSG00000025039	3,0	11,0	8,0	6,0
ENSG00000025156	302,0	237,0	300,0	146,0
ENSG00000025293	1417,0	1420,0	1516,0	908,0
ENSG00000025423	235,0	61,0	605,0	58,0
ENSG00000025434	403,0	492,0	513,0	311,0
ENSG00000025708	136,0	405,0	110,0	122,0
ENSG00000025770	426,0	364,0	444,0	191,0
ENSG00000025772	840,0	574,0	933,0	396,0
ENSG00000025796	3318,0	2361,0	4840,0	2777,0
ENSG00000025800	1962,0	1835,0	2372,0	1649,0
ENSG00000026025	98471,0	64439,0	119665,0	60034,0
ENSG00000026036	322,0	170,0	381,0	59,0
ENSG00000026103	991,0	874,0	1425,0	660,0
ENSG00000026297	266,0	148,0	288,0	133,0
ENSG00000026508	19783,0	12248,0	29627,0	14247,0
ENSG00000026559	34,0	20,0	16,0	4,0
ENSG00000026652	556,0	312,0	359,0	125,0
ENSG00000026751	0,0	1,0	2,0	4,0
ENSG00000026950	1003,0	485,0	1098,0	400,0
ENSG00000027001	548,0	370,0	794,0	309,0
ENSG00000027075	78,0	43,0	75,0	52,0
ENSG00000027644	1,0	0,0	1,0	0,0
ENSG00000027697	1353,0	1607,0	1341,0	1244,0
ENSG00000027847	453,0	411,0	568,0	271,0
ENSG00000027869	1,0	0,0	1,0	0,0
ENSG00000028116	225,0	247,0	275,0	180,0
ENSG00000028137	403,0	613,0	596,0	489,0
ENSG00000028203	997,0	858,0	1720,0	1051,0
ENSG00000028277	68,0	29,0	38,0	3,0
ENSG00000028310	524,0	498,0	718,0	373,0
ENSG00000028528	3551,0	2885,0	4343,0	2343,0
ENSG00000028839	490,0	440,0	496,0	284,0
ENSG00000029153	311,0	218,0	422,0	245,0
ENSG00000029363	3179,0	2186,0	4444,0	2097,0
ENSG00000029364	1468,0	1022,0	1628,0	933,0
ENSG00000029534	69,0	30,0	156,0	114,0
ENSG00000029559	0,0	0,0	5,0	0,0
ENSG00000029639	129,0	100,0	128,0	83,0
ENSG00000029725	1589,0	1435,0	2424,0	1297,0
ENSG00000029993	495,0	318,0	928,0	398,0
ENSG00000030066	978,0	850,0	1050,0	610,0
ENSG00000030110	183,0	186,0	193,0	122,0
ENSG00000030304	35,0	54,0	41,0	14,0
ENSG00000030419	227,0	139,0	239,0	158,0
ENSG00000030582	10961,0	7853,0	13343,0	6964,0
ENSG00000031003	1339,0	1017,0	1665,0	903,0
ENSG00000031081	464,0	216,0	463,0	125,0
ENSG00000031691	58,0	56,0	83,0	53,0
ENSG00000031698	3373,0	2391,0	4016,0	1609,0
ENSG00000031823	1565,0	1070,0	2421,0	781,0
ENSG00000032219	701,0	523,0	782,0	409,0
ENSG00000032389	238,0	207,0	314,0	113,0
ENSG00000032444	1317,0	1167,0	1821,0	1105,0
ENSG00000032742	287,0	148,0	344,0	122,0
ENSG00000033011	521,0	473,0	622,0	335,0
ENSG00000033030	395,0	425,0	464,0	272,0
ENSG00000033050	1036,0	1349,0	1257,0	922,0
ENSG00000033100	2425,0	1977,0	2652,0	1648,0
ENSG00000033122	9,0	3,0	9,0	1,0
ENSG00000033170	1457,0	1386,0	2170,0	991,0
ENSG00000033178	979,0	515,0	1532,0	435,0
ENSG00000033327	1158,0	1135,0	1271,0	1112,0
ENSG00000033627	758,0	1319,0	961,0	857,0
ENSG00000033800	1118,0	900,0	1206,0	842,0
ENSG00000033867	2526,0	1161,0	3813,0	1080,0
ENSG00000034053	46,0	53,0	21,0	4,0
ENSG00000034152	886,0	1178,0	924,0	896,0
ENSG00000034239	14,0	9,0	17,0	4,0
ENSG00000034510	11323,0	10854,0	17313,0	8263,0
ENSG00000034533	142,0	98,0	152,0	64,0
ENSG00000034677	837,0	833,0	1106,0	657,0
ENSG00000034693	345,0	210,0	420,0	192,0
ENSG00000034713	1332,0	1382,0	1392,0	1186,0
ENSG00000034971	339,0	260,0	1033,0	645,0
ENSG00000035115	650,0	352,0	583,0	252,0
ENSG00000035141	364,0	374,0	382,0	261,0
ENSG00000035403	11492,0	16965,0	17242,0	16658,0
ENSG00000035499	21,0	15,0	19,0	2,0
ENSG00000035664	168,0	517,0	631,0	966,0
ENSG00000035681	1162,0	868,0	1307,0	569,0
ENSG00000035687	866,0	750,0	1039,0	673,0
ENSG00000035720	0,0	0,0	0,0	0,0
ENSG00000035862	51281,0	43711,0	66689,0	48258,0
ENSG00000035928	1042,0	988,0	1126,0	736,0
ENSG00000036054	1278,0	1230,0	1180,0	854,0
ENSG00000036257	1672,0	1488,0	2047,0	1331,0
ENSG00000036448	7,0	13,0	6,0	1,0
ENSG00000036473	0,0	0,0	0,0	0,0
ENSG00000036530	43,0	24,0	45,0	23,0
ENSG00000036549	1008,0	800,0	951,0	543,0
ENSG00000036565	3,0	5,0	1,0	3,0
ENSG00000036672	20,0	8,0	11,0	13,0
